,0,1,2,3,4,5,6,7,8,9,10,11
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,10.0,0,76,0,7.60,3,1,,v Australia,Adelaide,15 Jan 2019,ODI # 4078
2,8.0,2,26,1,3.25,1,1,,v West Indies,Ahmedabad,6 Feb 2022,ODI # 4353
3,9.0,1,38,1,4.22,1,2,,v West Indies,Ahmedabad,9 Feb 2022,ODI # 4355
4,9.0,1,29,3,3.22,2,2,,v West Indies,Ahmedabad,11 Feb 2022,ODI # 4356
5,9.0,1,66,2,7.33,2,1,,v England,Manchester,17 Jul 2022,ODI # 4433
6,10.0,0,57,2,5.70,1,2,,v West Indies,Port of Spain,22 Jul 2022,ODI # 4436
7,10.0,1,46,0,4.60,1,1,,v West Indies,Port of Spain,24 Jul 2022,ODI # 4438
8,3.0,0,14,2,4.66,2,2,,v West Indies,Port of Spain,27 Jul 2022,ODI # 4439
9,8.0,2,36,1,4.50,2,1,,v Zimbabwe,Harare,18 Aug 2022,ODI # 4451
10,8.0,2,16,1,2.00,1,1,,v Zimbabwe,Harare,20 Aug 2022,ODI # 4454
11,8.0,0,49,0,6.12,1,1,,v South Africa,Lucknow,6 Oct 2022,ODI # 4470
12,10.0,1,38,3,3.80,1,1,,v South Africa,Ranchi,9 Oct 2022,ODI # 4471
13,5.0,0,17,2,3.40,2,1,,v South Africa,Delhi,11 Oct 2022,ODI # 4472
14,10.0,1,32,3,3.20,2,2,,v Bangladesh,Mirpur,4 Dec 2022,ODI # 4493
15,10.0,0,73,2,7.30,2,1,,v Bangladesh,Mirpur,7 Dec 2022,ODI # 4496
16,5.0,0,27,1,5.40,1,2,,v Bangladesh,Chattogram,10 Dec 2022,ODI # 4499
17,7.0,1,30,2,4.28,2,2,,v Sri Lanka,Guwahati,10 Jan 2023,ODI # 4501
18,5.4,0,30,3,5.29,2,1,,v Sri Lanka,Eden Gardens,12 Jan 2023,ODI # 4503
19,10.0,1,32,4,3.20,2,2,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,ODI # 4505
20,10.0,2,46,4,4.60,2,2,,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
21,6.0,1,10,1,1.66,2,1,,v New Zealand,Raipur,21 Jan 2023,ODI # 4509
22,5.4,1,29,3,5.11,2,1,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
23,3.0,0,37,0,12.33,2,2,,v Australia,Visakhapatnam,19 Mar 2023,ODI # 4541
24,7.0,1,37,2,5.28,2,1,,v Australia,Chennai,22 Mar 2023,ODI # 4545
25,TDNB,-,-,-,-,-,-,,v Pakistan,Pallekele,2 Sep 2023,ODI # 4630
26,9.2,1,61,3,6.53,2,1,,v Nepal,Pallekele,4 Sep 2023,ODI # 4632
27,5.0,0,23,0,4.60,2,2,,v Pakistan,Colombo (RPS),10 Sep 2023,ODI # 4639
28,5.0,2,17,1,3.40,2,2,,v Sri Lanka,Colombo (RPS),12 Sep 2023,ODI # 4641
29,7.0,1,21,6,3.00,2,1,,v Sri Lanka,Colombo (RPS),17 Sep 2023,ODI # 4649
30,9.0,0,68,1,7.55,2,1,,v Australia,Rajkot,27 Sep 2023,ODI # 4657
31,6.3,1,26,1,4.00,2,1,,v Australia,Chennai,8 Oct 2023,ODI # 4662
32,9.0,0,76,0,8.44,2,1,,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,8.0,2,26,1,3.25,1,1,,v West Indies,Ahmedabad,6 Feb 2022,ODI # 4353
2,9.0,1,38,1,4.22,1,2,,v West Indies,Ahmedabad,9 Feb 2022,ODI # 4355
3,9.0,1,29,3,3.22,2,2,,v West Indies,Ahmedabad,11 Feb 2022,ODI # 4356
4,8.0,0,49,0,6.12,1,1,,v South Africa,Lucknow,6 Oct 2022,ODI # 4470
5,10.0,1,38,3,3.80,1,1,,v South Africa,Ranchi,9 Oct 2022,ODI # 4471
6,5.0,0,17,2,3.40,2,1,,v South Africa,Delhi,11 Oct 2022,ODI # 4472
7,7.0,1,30,2,4.28,2,2,,v Sri Lanka,Guwahati,10 Jan 2023,ODI # 4501
8,5.4,0,30,3,5.29,2,1,,v Sri Lanka,Eden Gardens,12 Jan 2023,ODI # 4503
9,10.0,1,32,4,3.20,2,2,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,ODI # 4505
10,10.0,2,46,4,4.60,2,2,,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
11,6.0,1,10,1,1.66,2,1,,v New Zealand,Raipur,21 Jan 2023,ODI # 4509
12,5.4,1,29,3,5.11,2,1,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
13,3.0,0,37,0,12.33,2,2,,v Australia,Visakhapatnam,19 Mar 2023,ODI # 4541
14,7.0,1,37,2,5.28,2,1,,v Australia,Chennai,22 Mar 2023,ODI # 4545
15,9.0,0,68,1,7.55,2,1,,v Australia,Rajkot,27 Sep 2023,ODI # 4657
16,6.3,1,26,1,4.00,2,1,,v Australia,Chennai,8 Oct 2023,ODI # 4662
17,9.0,0,76,0,8.44,2,1,,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,10.0,0,76,0,7.60,3,1,,v Australia,Adelaide,15 Jan 2019,ODI # 4078
2,9.0,1,66,2,7.33,2,1,,v England,Manchester,17 Jul 2022,ODI # 4433
3,10.0,0,57,2,5.70,1,2,,v West Indies,Port of Spain,22 Jul 2022,ODI # 4436
4,10.0,1,46,0,4.60,1,1,,v West Indies,Port of Spain,24 Jul 2022,ODI # 4438
5,3.0,0,14,2,4.66,2,2,,v West Indies,Port of Spain,27 Jul 2022,ODI # 4439
6,8.0,2,36,1,4.50,2,1,,v Zimbabwe,Harare,18 Aug 2022,ODI # 4451
7,8.0,2,16,1,2.00,1,1,,v Zimbabwe,Harare,20 Aug 2022,ODI # 4454
8,10.0,1,32,3,3.20,2,2,,v Bangladesh,Mirpur,4 Dec 2022,ODI # 4493
9,10.0,0,73,2,7.30,2,1,,v Bangladesh,Mirpur,7 Dec 2022,ODI # 4496
10,5.0,0,27,1,5.40,1,2,,v Bangladesh,Chattogram,10 Dec 2022,ODI # 4499
11,TDNB,-,-,-,-,-,-,,v Pakistan,Pallekele,2 Sep 2023,ODI # 4630
12,9.2,1,61,3,6.53,2,1,,v Nepal,Pallekele,4 Sep 2023,ODI # 4632
13,5.0,0,23,0,4.60,2,2,,v Pakistan,Colombo (RPS),10 Sep 2023,ODI # 4639
14,5.0,2,17,1,3.40,2,2,,v Sri Lanka,Colombo (RPS),12 Sep 2023,ODI # 4641
15,7.0,1,21,6,3.00,2,1,,v Sri Lanka,Colombo (RPS),17 Sep 2023,ODI # 4649
